Month,Inbound Calls,Average Speed of Answer in Secs,Abandoned Calls,Call Abandonment Rate,In-person visits
Apr 2024,3036,95,298,8.7,33
Mar 2024,2784,61,148,5,26
Feb 2024,3271,161,335,9.1,8
Jan 2024,4677,293,752,13.7,40
Dec 2023,2015,144,212,9.4,26
Nov 2023,1538,128,171,9.9,9
Oct 2023,2517,182,265,9.4,49
Sep 2023,2962,281,417,12.2,18
Aug 2023,3380,232,413,10.8,
Jul 2023,3590,395,522,12.5,
Jun 2023,3505,402,709,16.6,
May 2023,3596,425,729,16.9,0
Apr 2023,3375,461,650,16.1,0
Mar 2023,4692,,653,13.9,0
Feb 2023,2581,,605,12.8,0
Jan 2023,2482,,2091,25,0
Dec 2022,3080,3427,2165,41.3,0
Nov 2022,3554,583,1114,23.9,0
Oct 2022,8351,572,2199,20.8,0
Sep 2022,3344,196,372,10,0
Aug 2022,3375,,,,0
Jul 2022,3074,,,,0
Jun 2022,3485,,,,0
May 2022,2521,,,,0
Apr 2022,4004,40,104,2.5,0
Mar 2022,4306,78,148,3.3,0
Feb 2022,3811,69,171,4.3,0
Jan 2022,4726,47,153,3.1,0
Dec 2021,5725,75,177,3,0
Nov 2021,4111,39,182,4.2,0
Oct 2021,9448,130,839,8.2,0
Sep 2021,4656,44,120,2.5,0
Aug 2021,4044,24,60,1.5,0
Jul 2021,3891,38,82,2.1,0
Jun 2021,4549,33,150,3.2,0
May 2021,4213,24,42,1,0
Apr 2021,4116,20,37,0.9,0
Mar 2021,4707,18,39,0.8,0
Feb 2021,3786,18,74,1.9,0
Jan 2021,4489,51,87,1.9,0
Dec 2020,5972,227,279,4.5,0
Nov 2020,4606,116,256,5.3,0
Oct 2020,9562,85,313,3.2,0
Sep 2020,4675,94,164,3.4,0
Aug 2020,4229,42,68,1.6,0
Jul 2020,4914,33,73,1.5,0
Jun 2020,4681,11,20,0.4,0
May 2020,3301,8,27,0.8,0
Apr 2020,1927,,,0,0
Mar 2020,2895,17,34,1.2,528
Feb 2020,3898,14,25,0.6,1067
Jan 2020,4358,17,40,0.9,1103
Dec 2019,5292,27,73,1.4,0
Nov 2019,3605,19,17,0.5,0
Oct 2019,10904,28,154,1.4,0
Sep 2019,3872,24,58,1.5,0
Aug 2019,3619,22,48,1.3,0
Jul 2019,3763,24,43,1.1,0
Jun 2019,3345,14,31,0.9,0
May 2019,3659,12,28,0.8,0
Apr 2019,3682,20,37,1,1184
Mar 2019,3717,16,30,0.8,1163
Feb 2019,3916,19,42,1.1,1028
Jan 2019,5276,15,46,0.9,1320
Dec 2018,5837,21,57,1,1038
Nov 2018,4193,20,37,0.9,944
Oct 2018,11924,28,217,1.79,2158
Sep 2018,5205,18,63,1.2,1117
Aug 2018,4953,14,37,0.74,1140
Jul 2018,4361,13,43,0.98,1004
Jun 2018,4507,11,40,0.88,1340
May 2018,5121,12,50,0.97,1456
Apr 2018,4626,11,30,0.64,1256
Mar 2018,3879,11,22,0.56,1163
Feb 2018,3754,10,26,0.69,959
Jan 2018,5035,16,49,0.96,1259
Dec 2017,5478,29,76,1.37,1221
Nov 2017,3821,31,64,1.65,996
Oct 2017,11333,73,594,4.98,1763
Sep 2017,3495,13,31,0.88,1075
Aug 2017,3166,13,25,0.8,982
Jul 2017,3282,28,53,1.6,1030
Jun 2017,3425,32,65,1.9,1473
May 2017,3402,16,28,0.8,1359
Apr 2017,3084,14,29,0.9,1160
Mar 2017,4521,11,33,0.7,1345
Feb 2017,4122,16,53,1.3,1098
Jan 2017,5438,34,105,1.9,1338
Dec 2016,5705,77,340,5.6,1349
Nov 2016,4052,28,58,1.4,1212
Oct 2016,9943,31,225,2.2,1560
Sep 2016,5012,27,91,1.8,1162
Aug 2016,3607,16,34,0.9,1221
Jul 2016,3153,25,43,1.3,1028
Jun 2016,3552,31,77,2.1,1303
May 2016,2740,15,25,0.9,1218
Apr 2016,3184,14,36,1.1,1186
Mar 2016,3786,14,32,0.8,1302
Feb 2016,3695,15,46,1.2,1137
Jan 2016,4133,39,140,3.3,1139
Dec 2015,4676,20,52,1.1,1188
Nov 2015,3288,13,36,1.1,1000
Oct 2015,7625,28,142,1.8,1737
Sep 2015,3715,10,29,0.8,1041
Aug 2015,3073,10,21,0.7,1036
Jul 2015,3611,7,18,0.5,1296
Jun 2015,3361,9,27,0.8,1388
May 2015,2716,8,9,0.3,1156
Apr 2015,3957,8,22,0.6,1243
Mar 2015,3298,9,21,0.6,1262
Feb 2015,3367,10,23,0.7,1108
Jan 2015,5070,13,127,2.4,1335
Dec 2014,4403,14,34,0.8,1170
Nov 2014,3153,10,21,0.7,942
Oct 2014,6674,10,56,0.8,1481
Sep 2014,3725,9,13,0.3,1027
Aug 2014,3104,12,23,0.7,949
Jul 2014,4563,14,49,1.1,1449
Jun 2014,3288,12,17,0.5,1160
May 2014,2897,10,34,1.2,1045
Apr 2014,3535,12,21,0.6,1031
Mar 2014,3332,13,39,1.2,899
Feb 2014,3187,16,25,0.8,857
Jan 2014,4150,13,66,1.6,998
Dec 2013,5274,49,210,3.8,1086
Nov 2013,4340,20,44,1,995
Oct 2013,6452,18,60,0.9,1147
Sep 2013,4108,26,57,1.4,755
Aug 2013,3138,15,27,0.9,768
Jul 2013,3898,20,51,1.3,821
Jun 2013,3034,20,30,1,946
May 2013,3317,20,37,1.1,1148
Apr 2013,3331,20,45,1.3,1025
Mar 2013,3926,37,80,2,927
Feb 2013,3566,106,271,7,857
Jan 2013,6481,224,969,9,1079
Dec 2012,3864,80,233,3.8,855
Nov 2012,4455,83,219,1,824
Oct 2012,6771,28,120,0.9,1464
Sep 2012,3153,23,54,1.4,708
Aug 2012,3585,24,46,0.9,905
Jul 2012,3682,24,67,1.3,921
Jun 2012,3242,14,38,1,942
May 2012,3325,15,44,1.1,942
Apr 2012,5637,21,102,1.7,1238
Mar 2012,3893,29,83,2,798
Feb 2012,3117,21,43,1.3,828
Jan 2012,2970,17,41,1,840
Dec 2011,2584,22,37,5.7,833
Nov 2011,2763,21,45,4.7,778
Oct 2011,2752,18,40,1.7,841
Sep 2011,3101,29,62,1.7,895
Aug 2011,3472,44,100,1.3,905
Jul 2011,3685,43,82,1.8,935
Jun 2011,3790,62,164,1.2,1124
May 2011,3559,49,130,1.3,996
Apr 2011,6009,29,110,1.8,1527
Mar 2011,4379,29,72,2.1,820
Feb 2011,2520,18,30,1.4,676
Jan 2011,3171,25,45,1.4,862
