Day,Date,Time_Interval,Calls_Offered,Calls_Answered,Calls_Abandoned,Abandonment_Rate_%,Average_Handle_Time_Seconds,Average_Speed_of_Answer_Seconds,Traffic_Intensity_Erlangs,Required_Agents,Occupancy_%,Estimated_ASA_Seconds,Service_Level_80/90_Met,Excel_Formula_Notes
Monday,1/6/25,08:00-08:15,18,17,1,5.56%,258,52,5.16,9,57.3%,28,Yes,"Traffic: =D2*H2/900"
Monday,1/6/25,08:15-08:30,14,13,1,7.14%,264,48,4.11,8,51.4%,32,Yes,"Agents: =ROUNDUP(J2+SQRT(J2)*1.5,0)"
Monday,1/6/25,08:30-08:45,11,11,0,0.00%,276,28,3.37,7,48.1%,24,Yes,"Occupancy: =J2/K2"
Monday,1/6/25,08:45-09:00,9,9,0,0.00%,270,24,2.70,6,45.0%,22,Yes,"For Goal Seek use Erlang C"
Monday,1/6/25,09:00-09:15,28,27,1,3.57%,264,45,8.21,12,68.4%,36,Yes,
Monday,1/6/25,09:15-09:30,19,19,0,0.00%,270,32,5.70,10,57.0%,28,Yes,
Monday,1/6/25,09:30-09:45,16,16,0,0.00%,276,30,4.91,9,54.5%,26,Yes,
Monday,1/6/25,09:45-10:00,13,13,0,0.00%,264,26,3.81,8,47.7%,24,Yes,
Monday,1/6/25,10:00-10:15,35,33,2,5.71%,276,58,10.73,16,67.1%,48,Yes,
Monday,1/6/25,10:15-10:30,24,23,1,4.17%,270,46,7.20,12,60.0%,38,Yes,
Monday,1/6/25,10:30-10:45,20,20,0,0.00%,264,34,5.87,10,58.7%,30,Yes,
Monday,1/6/25,10:45-11:00,16,16,0,0.00%,270,30,4.80,9,53.3%,26,Yes,
Monday,1/6/25,11:00-11:15,32,30,2,6.25%,282,55,10.03,15,66.9%,45,Yes,
Monday,1/6/25,11:15-11:30,22,21,1,4.55%,276,44,6.75,12,56.2%,36,Yes,
Monday,1/6/25,11:30-11:45,18,18,0,0.00%,264,32,5.28,10,52.8%,28,Yes,
Monday,1/6/25,11:45-12:00,15,15,0,0.00%,270,28,4.50,9,50.0%,26,Yes,
Monday,1/6/25,12:00-12:15,22,21,1,4.55%,258,42,6.31,11,57.4%,34,Yes,
Monday,1/6/25,12:15-12:30,15,15,0,0.00%,264,30,4.40,9,48.9%,26,Yes,
Monday,1/6/25,12:30-12:45,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Monday,1/6/25,12:45-13:00,10,10,0,0.00%,264,23,2.93,7,41.9%,21,Yes,
Monday,1/6/25,13:00-13:15,26,25,1,3.85%,276,43,7.97,13,61.3%,35,Yes,
Monday,1/6/25,13:15-13:30,18,18,0,0.00%,270,32,5.40,10,54.0%,28,Yes,
Monday,1/6/25,13:30-13:45,15,15,0,0.00%,264,28,4.40,9,48.9%,26,Yes,
Monday,1/6/25,13:45-14:00,12,12,0,0.00%,270,25,3.60,8,45.0%,23,Yes,
Monday,1/6/25,14:00-14:15,30,28,2,6.67%,282,56,9.40,15,62.7%,46,Yes,
Monday,1/6/25,14:15-14:30,21,20,1,4.76%,276,44,6.44,11,58.5%,36,Yes,
Monday,1/6/25,14:30-14:45,17,17,0,0.00%,264,31,4.99,9,55.4%,28,Yes,
Monday,1/6/25,14:45-15:00,14,14,0,0.00%,270,27,4.20,8,52.5%,25,Yes,
Monday,1/6/25,15:00-15:15,24,23,1,4.17%,270,42,7.20,12,60.0%,34,Yes,
Monday,1/6/25,15:15-15:30,17,17,0,0.00%,264,31,4.99,9,55.4%,28,Yes,
Monday,1/6/25,15:30-15:45,14,14,0,0.00%,270,27,4.20,8,52.5%,25,Yes,
Monday,1/6/25,15:45-16:00,11,11,0,0.00%,264,24,3.23,7,46.1%,22,Yes,
